Name,Fan RPM,Noise Level,Color,Radiator Size,Price
Thermalright Peerless Assassin 120 SE,1550 RPM,25.6 dB,Black / Silver,,$33.06
ARCTIC Liquid Freezer III Pro 360,600 - 3000 RPM,,Black,360 mm,$89.99
Cooler Master Hyper 212 Black Edition,650 - 2000 RPM,6.5 - 26 dB,Black,,$25.99
Thermalright Aqua Elite V3,1500 RPM,25.6 dB,Black,360 mm,$49.41
Corsair NAUTILUS 360 RS ARGB,2100 RPM,34 dB,Black,360 mm,$129.99
ARCTIC Liquid Freezer III Pro A-RGB 360,600 - 3000 RPM,,Black,360 mm,$98.99
Thermalright Phantom Spirit 120 SE ARGB,1500 RPM,25.6 dB,Black / Silver,,$30.52
ARCTIC Liquid Freezer III Pro A-RGB 360,600 - 3000 RPM,,White,360 mm,$105.49
Noctua NH-D15 chromax.black,300 - 1500 RPM,19.2 - 24.6 dB,Black,,$139.94
Thermalright Aqua Elite V3,1500 RPM,25.6 dB,Black,240 mm,$44.90
be quiet! Dark Rock Pro 5,1300 - 2000 RPM,8.9 - 23.3 dB,Black,,$84.90
NZXT Kraken Elite 360 RGB (2024),500 - 2400 RPM,30 dB,White,360 mm,$249.99
Thermalright Assassin X 120 Refined SE,1550 RPM,25.6 dB,Black / Silver,,$16.92
Corsair NAUTILUS 360 RS ARGB,2100 RPM,34 dB,White,360 mm,$119.99
Thermalright Phantom Spirit 120 SE,1500 RPM,25.6 dB,Black / Silver,,$32.31
Noctua NH-D15,300 - 1500 RPM,19.2 - 24.6 dB,,,$129.94
Corsair iCUE LINK TITAN 360 RX LCD,300 - 2100 RPM,10 - 36 dB,Black,360 mm,$219.99
ARCTIC Freezer 36,200 - 1800 RPM,,Black,,$30.54
ARCTIC Liquid Freezer III Pro,600 - 3000 RPM,,Black,240 mm,$75.98
Thermalright Peerless Assassin 120 SE ARGB,1550 RPM,25.6 dB,Black,,$33.06
Asus ROG Ryujin III 360 ARGB Extreme,1 - 2800 RPM,36 dB,Black,360 mm,$377.99
Thermalright Phantom Spirit EVO,2150 RPM,27 dB,Black,,$58.90
Thermalright Peerless Assassin 120 SE WHITE ARGB,1550 RPM,25.6 dB,White,,$33.92
Corsair NAUTILUS 360 RS LCD,2100 RPM,10 - 36 dB,Black,360 mm,$159.99
Cooler Master MasterLiquid 360L Core ARGB,350 - 1750 RPM,27.2 dB,Black,360 mm,$67.98
TRYX PANORAMA SE ARGB,500 - 1850 RPM,,Black,360 mm,$251.99
Lian Li Hydroshift LCD 360S,200 - 2500 RPM,29.8 dB,White,360 mm,$179.99
NZXT Kraken Z73 RGB,500 - 1500 RPM,22 - 33 dB,White / Black,360 mm,$399.99
Noctua NH-L9A-AM5,600 - 2500 RPM,14.8 - 23.6 dB,Brown / Silver,,$49.95
Thermalright Assassin Spirit 120 EVO,2000 RPM,28.2 dB,Black,,$22.85
be quiet! Pure Rock 3,2000 RPM,12.4 - 31.2 dB,Black,,$35.60
Lian Li Hydroshift II LCD-S 360 TL,200 - 2600 RPM,33 dB,Black,360 mm,$239.99
ARCTIC Alpine 23,100 - 2000 RPM,,White / Black,,$9.99
ID-COOLING FROZN A620 PRO SE,300 - 2000 RPM,27.2 dB,Black,,$29.99
Thermalright Frozen Infinity 360 ARGB,2000 RPM,28.2 dB,White,360 mm,$52.59
Cooler Master MasterLiquid 240L Core ARGB,350 - 1750 RPM,27.2 dB,Black,240 mm,$75.39
Thermalright Frozen Notte ARGB,2000 RPM,27.7 dB,Black,360 mm,$46.66
ARCTIC Liquid Freezer III Pro,400 - 2500 RPM,,Black,420 mm,$103.00
MSI MAG CORELIQUID A13,,,Black,360 mm,$79.99
ID-COOLING SE-214-XT ARGB,500 - 1500 RPM,13.8 - 30.5 dB,Black,,
Deepcool AK400,500 - 1850 RPM,29 dB,Black / Silver,,
Noctua NH-D15 G2 chromax.black,,0 - 24.8 dB,Black,,$189.90
NZXT Kraken Elite 420 RGB (2025),500 - 2000 RPM,34.5 dB,Black,420 mm,
be quiet! Silent Loop 3,2500 RPM,19.8 - 38.8 dB,Black,360 mm,$129.88
Noctua NH-L9x65 chromax.black,600 - 2500 RPM,14.8 - 23.6 dB,Black,,$79.95
Thermalright Peerless Assassin 120 White,1550 RPM,25.6 dB,White,,$47.59
Thermalright Assassin X 120 R Digital ARGB,2000 RPM,29.8 dB,Black,,$22.41
Corsair NAUTILUS 360 RS,2100 RPM,34 dB,Black,360 mm,$109.99
be quiet! Pure Rock Pro 3,2000 RPM,14 - 34.8 dB,Black,,$54.80
Thermalright Aqua Elite V3,1500 RPM,25.6 dB,White,360 mm,$50.31
Noctua NH-U12A chromax.black,450 - 2000 RPM,18.8 - 22.6 dB,Black,,$139.94
Lian Li Galahad II Trinity SL-INF,2100 RPM,29 dB,Black,360 mm,$323.07
Noctua NH-D15 G2,1500 RPM,24.8 dB,Brown / Silver,,$179.95
Cooler Master Hyper 212 RGB Black Edition,650 - 2000 RPM,8 - 30 dB,Black,,$19.98
Thermalright AXP90-X36,2700 RPM,22.4 dB,Gray,,$20.39
Thermalright AQUA ELITE ARGB V4,1550 RPM,25.6 dB,Black,360 mm,$48.51
Thermalright Aqua Elite ARGB V6,2000 RPM,29.8 dB,Black,360 mm,$48.51
Thermalright Phantom Spirit 120 SE,1500 RPM,25.6 dB,Black,,$35.90
TRYX PANORAMA ARGB (2025),500 - 1850 RPM,28.87 dB,Black,360 mm,$323.99
Noctua NH-D9L,400 - 2000 RPM,16.3 - 22.8 dB,,,$84.95
Deepcool AK620 ZERO DARK,500 - 1850 RPM,28 dB,Black,,
Corsair iCUE H150i ELITE CAPELLIX,2400 RPM,10 - 37 dB,Black,360 mm,
Thermalright Assassin King SE ARGB,1550 RPM,25.6 dB,White,,$16.23
Lian Li Hydroshift II LCD-C TL,200 - 2600 RPM,33 dB,White,360 mm,$239.97
Noctua NH-U12S chromax.black,300 - 1500 RPM,18.6 - 22.4 dB,Black,,$99.95
be quiet! Silent Loop 3,1900 RPM,19.4 - 34.3 dB,Black,420 mm,$139.90
