Name,Chipset,Memory,Core Clock,Boost Clock,Color,Length,Price
Gigabyte GAMING OC,Radeon RX 9060 XT,16 GB,2220 MHz,3320 MHz,Black,281 mm,$459.99
Gigabyte WINDFORCE OC SFF,GeForce RTX 5070,12 GB,2160 MHz,2542 MHz,Black,282 mm,$649.99
Gigabyte GAMING OC,Radeon RX 9070 XT,16 GB,2520 MHz,3060 MHz,Black,288 mm,$729.99
Asus ROG Astral OC,GeForce RTX 5090,32 GB,2010 MHz,2610 MHz,Black / Silver,358 mm,$3509.99
ASRock Challenger OC,Radeon RX 9060 XT,16 GB,2220 MHz,3290 MHz,Black / Silver,249 mm,$439.99
Gigabyte WINDFORCE OC,GeForce RTX 5060,8 GB,2280 MHz,,Black,199 mm,$349.99
MSI SHADOW 3X OC,GeForce RTX 5070 Ti,16 GB,2300 MHz,2497 MHz,Black,303 mm,$949.99
Asus DUAL OC,GeForce RTX 5060 Ti,16 GB,2410 MHz,2632 MHz,Black / Silver,229 mm,$579.99
ASRock Challenger OC,Arc B580,12 GB,2670 MHz,2740 MHz,Black,249 mm,$299.99
Gigabyte WINDFORCE OC SFF,GeForce RTX 5080,16 GB,2300 MHz,,Black,304 mm,$1399.99
Sapphire PULSE,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,Black,320 mm,$769.99
Asus PRIME OC,Radeon RX 9070 XT,16 GB,2460 MHz,3030 MHz,Black,312 mm,$799.99
Asus ROG Matrix Platinum,GeForce RTX 4090,24 GB,2670 MHz,2700 MHz,Black / Silver,286 mm,$8909.96
PNY VCNRTX6000ADA-PB,RTX 6000 Ada Generation,48 GB,915 MHz,2505 MHz,Black / Gold,267 mm,$7499.99
Gigabyte GAMING OC,GeForce RTX 5060 Ti,16 GB,2410 MHz,2647 MHz,Black,281 mm,$549.99
Sapphire PULSE,Radeon RX 9060 XT,16 GB,2220 MHz,3290 MHz,Black,240 mm,$444.00
Intel Limited Edition,Arc B580,12 GB,2670 MHz,,Black,272 mm,$398.50
Asus PRIME,GeForce RTX 5070 Ti,16 GB,2300 MHz,2482 MHz,Black / White,306 mm,$1012.98
Asus PRIME OC,GeForce RTX 5070,12 GB,2160 MHz,,Black / White,306 mm,$699.99
MSI GeForce RTX 3060 Ventus 2X 12G,GeForce RTX 3060 12GB,12 GB,1320 MHz,1777 MHz,Black,235 mm,$299.95
PNY OC,GeForce RTX 5080,16 GB,2300 MHz,2730 MHz,Black,329 mm,$1289.99
ASRock Challenger,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,Black,290 mm,$729.99
MSI VENTUS 2X PLUS OC,GeForce RTX 5060 Ti,8 GB,2410 MHz,2617 MHz,Black / Gray,227 mm,$398.88
NVIDIA Founders Edition,GeForce RTX 5090,32 GB,2017 MHz,2407 MHz,Black / Silver,304 mm,
MSI GAMING TRIO OC,GeForce RTX 5070 Ti,16 GB,2300 MHz,2580 MHz,Black,338 mm,$1049.99
MSI SHADOW 2X OC,GeForce RTX 5070,12 GB,2557 MHz,,Black,231 mm,$629.99
Asus ROG Astral OC,GeForce RTX 5080,16 GB,2300 MHz,,Black / Silver,358 mm,$1899.99
XFX Swift,Radeon RX 9070 XT,16 GB,1660 MHz,2970 MHz,Black,325 mm,$719.99
XFX Swift OC,Radeon RX 9060 XT,16 GB,2220 MHz,3320 MHz,Black,290 mm,$479.99
XFX Swift OC,Radeon RX 9060 XT,16 GB,2220 MHz,3320 MHz,Black,270 mm,$459.99
ASRock Challenger,Radeon RX 9070,16 GB,2070 MHz,2520 MHz,Black / Silver,290 mm,$629.99
Gigabyte WINDFORCE OC SFF,GeForce RTX 5070 Ti,16 GB,2497 MHz,,Black,304 mm,$999.99
ASRock Challenger OC,Radeon RX 7700 XT,12 GB,1700 MHz,2584 MHz,Black,266 mm,$399.99
Sapphire NITRO+,Radeon RX 9070 XT,16 GB,2520 MHz,3060 MHz,Black,331 mm,$799.99
PNY OC,GeForce RTX 5070,12 GB,2325 MHz,2587 MHz,Black,300 mm,$659.00
PowerColor Reaper,Radeon RX 9060 XT,16 GB,2220 MHz,3230 MHz,Black,200 mm,$469.99
XFX Swift OC,Radeon RX 9060 XT,16 GB,2220 MHz,3320 MHz,White,290 mm,$479.99
Gigabyte EAGLE OC SFF,GeForce RTX 5070,12 GB,2160 MHz,2587 MHz,White,290 mm,$659.99
MSI VENTUS 2X BLACK OC,GeForce RTX 4060,8 GB,1830 MHz,2505 MHz,Black,199 mm,$329.99
NVIDIA Founders Edition,GeForce RTX 3060 Ti,8 GB,1410 MHz,1670 MHz,Black / Silver,242 mm,$450.80
NVIDIA Founders Edition,GeForce RTX 5080,16 GB,2300 MHz,2620 MHz,Black / Gray,304 mm,$999.99
Gigabyte WINDFORCE OC,GeForce RTX 5050,8 GB,2317 MHz,2587 MHz,Black,199 mm,$289.99
Asus PRIME,GeForce RTX 5080,16 GB,2300 MHz,,Black / White,306 mm,$1364.99
MSI GAMING TRIO OC,GeForce RTX 5070 Ti,16 GB,2300 MHz,2580 MHz,White,338 mm,$1049.99
Gigabyte GAMING OC,GeForce RTX 5090,32 GB,2010 MHz,2550 MHz,Black,342 mm,$3799.99
Zotac GAMING SOLID CORE OC,GeForce RTX 5080,16 GB,2300 MHz,2640 MHz,Black / Copper,304 mm,$1299.99
Gigabyte WINDFORCE OC,GeForce RTX 4070,12 GB,1920 MHz,2490 MHz,Black,261 mm,$729.99
ASRock Steel Legend,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,White / Gray,298 mm,$749.99
NVIDIA Founders Edition,GeForce RTX 5070,12 GB,2160 MHz,2510 MHz,Black / Gray,242 mm,$549.99
Gigabyte GAMING OC,GeForce RTX 5080,16 GB,2300 MHz,,Black,340 mm,$1499.99
Asus DUAL OC,GeForce RTX 4060 Ti,8 GB,2310 MHz,2595 MHz,Black,227 mm,$469.99
PowerColor Reaper,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,Black / Red,289 mm,$799.99
Gigabyte AORUS MASTER,GeForce RTX 5090,32 GB,2010 MHz,2655 MHz,White,360 mm,$3899.99
ASRock Challenger OC,Radeon RX 7600,8 GB,1720 MHz,2695 MHz,Black,269 mm,$279.99
MSI SHADOW 3X OC,GeForce RTX 5080,16 GB,2300 MHz,2655 MHz,Black,303 mm,$1349.99
XFX GTS XXX,Radeon RX 580,8 GB,1366 MHz,1386 MHz,Black / Red,270 mm,$219.99